"Product ID [Non Editable]","Variant ID [Non Editable]","Product Type [Non Editable]","Product Page","Product URL","Title","Description","SKU","Option Name 1","Option Value 1","Option Name 2","Option Value 2","Option Name 3","Option Value 3","Option Name 4","Option Value 4","Option Name 5","Option Value 5","Option Name 6","Option Value 6","Price","Sale Price","On Sale","Stock","Categories","Tags","Weight","Length","Width","Height","Visible","Hosted Image URLs"
"63eebe891678910f74c7f4a8","2926158e-c9d6-40dd-beba-7ae8abb35e7d","SERVICE","book","thailand-anzac-tour-20th-april-2nd-may-2024","Thailand ANZAC Tour - 20th April - 2nd May 2024","<p class="""">We open the Tour with 2 rounds of golf &amp; a Bangkok Highlights &amp; Canal Tour, before transferring to Kanchanaburi to spend ANZAC Day at key sites firmly entrenched in Australia’s history. Opening the day with the Dawn Service at HellFire Pass, we’ll also visit the Jeath War Museum before embarking on the infamous Burma Railroad culminating at the famous Bridge on the River Kwai. A round of golf at the spectacular Grand Prix Golf Club rounds out the first week with the option to extend your tour to experience the delights of Hua Hin.</p>","SQ7537425","Tour & Accommodation","ANZAC Single","","","","","","","","","","","2195.00","0.00","No","Unlimited","","","","","","","No","https://images.squarespace-cdn.com/content/v1/5fe1a66187b1197541ed9f92/1676592411025-7WC32H8JO7COUPCW6L6H/Nikanti+GC.jpg https://images.squarespace-cdn.com/content/v1/5fe1a66187b1197541ed9f92/1676592443536-DYJ7E0CHOVCEOEL1GGB5/Nikanti+GC+1.jpg https://images.squarespace-cdn.com/content/v1/5fe1a66187b1197541ed9f92/1676592493978-U6KOGZZZPMPSVNOE3OLP/RG+TPC+Sawgraa.jpg https://images.squarespace-cdn.com/content/v1/5fe1a66187b1197541ed9f92/1676592523527-QLNYK8R9P66OF65OF43I/RG+Augusta+15.jpg https://images.squarespace-cdn.com/content/v1/5fe1a66187b1197541ed9f92/1676592541536-6GVTYMSCO866PBPENBC3/BKK+Highlights+Tour.jpg https://images.squarespace-cdn.com/content/v1/5fe1a66187b1197541ed9f92/1676592566471-T26L5CILS7B6M2XME79O/Grand+Prix+GC+K%3ABuri.jpg https://images.squarespace-cdn.com/content/v1/5fe1a66187b1197541ed9f92/1676592584705-LL3EK732GA21W86LF514/Bridge+River+Kwai.jpg https://images.squarespace-cdn.com/content/v1/5fe1a66187b1197541ed9f92/1676594610681-I156FTF8B0QIXSNMW4VP/Hellfire+Pass+2.jpg https://images.squarespace-cdn.com/content/v1/5fe1a66187b1197541ed9f92/1676594622021-L8DNJ3ORW5WYI9YSZIXW/Hellfire+Pass+ANZAC+Day.jpg https://images.squarespace-cdn.com/content/v1/5fe1a66187b1197541ed9f92/1676594644241-WKOR7QOXKII0ZAS2BJ0L/Banyan+GC.jpg https://images.squarespace-cdn.com/content/v1/5fe1a66187b1197541ed9f92/1676594684505-PMHP9MK5E04EBTCXM0AI/Black+Mountain+GC.jpg https://images.squarespace-cdn.com/content/v1/5fe1a66187b1197541ed9f92/1676594659915-BOS0PV6K27LCJKA3F2YT/Best+of+Hua+Hin+Tour.jpg"
"","a32c16ec-b8cb-47a3-ad12-4c8bb9c83391","","","","","","SQ1454403","Tour & Accommodation","ANZAC Twin Golf","","","","","","","","","","","1795.00","0.00","No","Unlimited","","","","","","","",""
"","b89b00f1-cad4-474f-9121-65622fb1569d","","","","","","SQ6565032","Tour & Accommodation","ANZAC Twin Non Golf","","","","","","","","","","","1295.00","0.00","No","Unlimited","","","","","","","",""
"","ada200ea-869d-4f28-8fb3-81639eda2c2b","","","","","","SQ6168579","Tour & Accommodation","ANZAC Hua Hin Single","","","","","","","","","","","3995.00","0.00","No","Unlimited","","","","","","","",""
"","cf30a52d-2997-49ee-b714-72a5ce0a1591","","","","","","SQ5340940","Tour & Accommodation","ANZAC Hua Hin Twin Golf","","","","","","","","","","","3295.00","0.00","No","Unlimited","","","","","","","",""
"","60a919e1-6aee-43f6-bd28-e7c40dff7191","","","","","","SQ3174602","Tour & Accommodation","ANZAC Hua Hin Non Golf","","","","","","","","","","","2195.00","0.00","No","Unlimited","","","","","","","",""
"65ac61140cc034287ba879ec","57fdaf31-5cfe-45ae-967c-e5e4256feb44","SERVICE","book","phuket-prestige-26th-oct-6th-nov-2023-ec5b8","Ultimate Phuket Getaway, 21st Oct - 1st Nov 2024","<p class="""">One of our favourites. 12 days / 11 nights of paradise including 7 rounds of golf on some of Asia’s best courses &amp; staying at the wonderful 4 star The Kee Resort &amp; Spa, you’ll be based right amongst the action at Patong Beach.</p><p class=""""><span style=""text-decoration:underline""><strong>Package Including:</strong></span></p><p style=""text-align:start;"" class="""">-- 6 rounds of golf in Phuket<br>-- 1 round of golf in Phang Nga<br>-- 11 nights' accommodation in Phuket<br>-- Daily breakfast<br>-- One caddie per golfer at each golf course<br>-- Golf carts, as mentioned in the itinerary<br>-- All airport, land, and golf course transfers<br>-- All transfers by private VIP high-top touring van or sedan<br>-- Daily drinking water<br>-- 24/7 golf hotline staffed by knowledgeable service personnel<br>-- Local knowledge, expertise, suggestions, and support throughout the&nbsp;trip<br>-- All taxes and compulsory service charges</p>","SQ2125114","Accommodation","Single - Plaza Room","","","","","","","","","","","2995.00","0.00","No","0","","","","","","","No","https://images.squarespace-cdn.com/content/v1/5fe1a66187b1197541ed9f92/1655186951828-PSK6IM39MCJW56XDXMP4/BC+4.jpg https://images.squarespace-cdn.com/content/v1/5fe1a66187b1197541ed9f92/1655186771525-Z4GOR2BDKPOCFHNHLMQX/Red+Mountain+1.jpg https://images.squarespace-cdn.com/content/v1/5fe1a66187b1197541ed9f92/1655186951832-0C2ZSSPLSMH278MTU1RU/Laguna+1.jpg https://images.squarespace-cdn.com/content/v1/5fe1a66187b1197541ed9f92/1655186768616-KCEQA0QQ0KBHQBUW16FI/Loch+Palm+1.jpg https://images.squarespace-cdn.com/content/v1/5fe1a66187b1197541ed9f92/1655186952119-3C5LSMZRMR3XZ67VYLP1/Red+Mountain+3.jpg https://images.squarespace-cdn.com/content/v1/5fe1a66187b1197541ed9f92/1655186770077-P91VSAGHQ2B3KFC6A2DX/Loch+Palm+2.jpg https://images.squarespace-cdn.com/content/v1/5fe1a66187b1197541ed9f92/1705796070794-XTOG4PBWYINI7WL0RG68/Phuket+CC+Caddie.jpg https://images.squarespace-cdn.com/content/v1/5fe1a66187b1197541ed9f92/1705796369889-VMVE4LDF4KNA676S77UZ/Phuket+2023.jpg https://images.squarespace-cdn.com/content/v1/5fe1a66187b1197541ed9f92/1705796388081-HF7N2U57RS1UZ3GKCIU4/Phuket+NGC.jpg https://images.squarespace-cdn.com/content/v1/5fe1a66187b1197541ed9f92/1705796402047-GAIDEUJDVJG8PLPQY413/Red+Mountain.jpg"
"","2581f0ae-70ae-4aef-92c5-a33d4b58195f","","","","","","SQ8157382","Accommodation","Twin Share - Plaza Room","","","","","","","","","","","2495.00","0.00","No","0","","","","","","","",""
"","effa559b-1a53-4c49-9430-a4d8ba9e8dce","","","","","","SQ3292768","Accommodation","Single - Pool View Room","","","","","","","","","","","3450.00","0.00","No","0","","","","","","","",""
"","a8225de7-5b28-484f-8363-4a2466d7e97a","","","","","","SQ0047873","Accommodation","Twin Share - Pool View Room","","","","","","","","","","","2995.00","0.00","No","0","","","","","","","",""
"66416631a7776e76016526a7","b4f67860-2527-40a9-b117-1778ae482900","SERVICE","book","party-in-pattaya-2025-3rd-16th-march-2025","Party in Pattaya 2025! 3rd - 16th March 2025","<p class="""" style=""white-space:pre-wrap;""><strong><em>Outstanding Golf, Fascinating Nightlife, Exquisite Scenery…..Our Party in Pattaya has it all! </em></strong></p><p class="""" style=""white-space:pre-wrap;""><strong><em>Staying in 4 Star Accommodation right in the heart of the action you’ll be blown away with what both Pattaya &amp; Bangkok have to offer. With an optional Bangkok Extension Tour available this is an event you’ll never forget!</em></strong></p><p class="""" style=""white-space:pre-wrap;""><span style=""text-decoration:underline""><strong>Package Including:</strong></span></p><p style=""text-align:start;white-space:pre-wrap;"" class="""">-- 1 round of golf in Bangkok @ the world famous Royal Gems Golf City!<br>-- 5 rounds of golf in Pattaya including Siam Old Course, home to the LPGA Honda Classic!<br>-- 2 nights' accommodation in Bangkok<br>-- 11 nights' accommodation in Pattaya<br>-- Daily breakfast<br>-- One caddie per golfer at each golf course<br>-- Golf carts, as mentioned in the itinerary<br>-- All airport, land, and golf course transfers<br>-- Meet &amp; Greet on arrival<br>-- All transfers by private VIP high-top touring van or sedan<br>-- Daily drinking water<br>-- 24/7 golf hotline staffed by knowledgeable service personnel<br>-- Local knowledge, expertise, suggestions, and support throughout the&nbsp;trip<br>-- All taxes and compulsory service charges</p><p class="""" style=""white-space:pre-wrap;"">Bangkok Extension Post Tour Option:</p><p style=""text-align:start;white-space:pre-wrap;"" class="""">-- 3 rounds of golf in Bangkok<br>-- 6 nights' accommodation in Bangkok<br><br><span style=""text-decoration:underline""><strong>Package Excluding:</strong></span></p><p style=""text-align:start;white-space:pre-wrap;"" class="""">-- Airfare, airport taxes, visa fees<br>-- Personal items, meals (other than those mentioned), gratuities</p>","SQ3925597","Tour Options","Pattaya Only","","","","","","","","","","","3445.00","0.00","No","21","","","","","","","No","https://images.squarespace-cdn.com/content/v1/5fe1a66187b1197541ed9f92/1715562370833-WUWAU5C3O14YZF7PTN3K/Siam+CC+Old.jpg https://images.squarespace-cdn.com/content/v1/5fe1a66187b1197541ed9f92/1676592493978-U6KOGZZZPMPSVNOE3OLP/RG+TPC+Sawgraa.jpg https://images.squarespace-cdn.com/content/v1/5fe1a66187b1197541ed9f92/1676592523527-QLNYK8R9P66OF65OF43I/RG+Augusta+15.jpg https://images.squarespace-cdn.com/content/v1/5fe1a66187b1197541ed9f92/1661825109544-8H37OUZO54GMJS48ERX1/Siam+Course+Rolling+Hills.jpg https://images.squarespace-cdn.com/content/v1/5fe1a66187b1197541ed9f92/1661825120883-F6LVWJPU1EIA0U8L4SOU/Siam+CC+Plantation+Course.jpg https://images.squarespace-cdn.com/content/v1/5fe1a66187b1197541ed9f92/1662614309685-WIVGNVH730T4ENONMRKU/Siam+CC+Old+Course.jpg https://images.squarespace-cdn.com/content/v1/5fe1a66187b1197541ed9f92/1683008603144-Y4FO63LFFJ31NRZSDA8S/Siam+CC+LPGA.jpg https://images.squarespace-cdn.com/content/v1/5fe1a66187b1197541ed9f92/1683008675641-LPNSDD9PBP4ROB5DZPPS/Siam+Old.jpg https://images.squarespace-cdn.com/content/v1/5fe1a66187b1197541ed9f92/1715815293909-Q0YGM68X8R0ZXGTKJR1X/Ballyshear+1.jpg https://images.squarespace-cdn.com/content/v1/5fe1a66187b1197541ed9f92/1715815310560-WL5SBX043JRNOD03X9XN/Ballyshear+2.jpg https://images.squarespace-cdn.com/content/v1/5fe1a66187b1197541ed9f92/1715815340292-VELZOI3DON8JJ0JPQL0F/Nikanti+8.jpg https://images.squarespace-cdn.com/content/v1/5fe1a66187b1197541ed9f92/1715815354648-GFVZCKAJXRLOFAG73A8F/Nikanti+1.jpg"
"","17f1d34a-a8d8-46f8-8ca1-8b51ba251f76","","","","","","SQ6292904","Tour Options","Bangkok Extension","","","","","","","","","","","5195.00","0.00","No","22","","","","","","","",""
"668ddb96cbd5e240531edca0","8a8cba60-24f2-4ad1-b257-e8f6a4afba1f","SERVICE","book","bangkok-birdies-march-2025","Bangkok Birdies! 16th - 22nd March 2025.","<p class="""" style=""white-space:pre-wrap;""><strong>Sunday 16th March - Saturday 22nd March 2025.</strong></p><p class="""" style=""white-space:pre-wrap;""><strong>Join us for an exciting week in Bangkok. </strong>With its rich tapestry of cultural heritage, modern amenities, and vibrant street life, Bangkok truly offers a unique and memorable experience for all who visit. </p><p class="""" style=""white-space:pre-wrap;""><span style=""text-decoration:underline""><strong>Package Including:</strong></span></p><p style=""text-align:start;white-space:pre-wrap;"" class="""">-- 3 rounds of golf in Bangkok<br>-- 6 nights' accommodation in Bangkok<br>-- Daily breakfast<br>-- One caddie per golfer at each golf course<br>-- Golf carts, as mentioned in the itinerary<br>-- All airport, land, and golf course transfers<br>-- Meet &amp; Greet on arrival<br>-- All transfers by private VIP high-top touring van or sedan<br>-- Daily drinking water<br>-- 24/7 golf hotline staffed by knowledgeable service personnel<br>-- Local knowledge, expertise, suggestions, and support throughout the&nbsp;trip<br>-- All taxes and compulsory service charges<br><br></p><p style=""text-align:start;white-space:pre-wrap;"" class=""""><span style=""text-decoration:underline""><strong>Package Excluding:</strong></span></p><p style=""text-align:start;white-space:pre-wrap;"" class="""">-- Airfare, airport taxes, visa fees<br>-- Personal items, meals (other than those mentioned), gratuities<br></p>","SQ4754151","","","","","","","","","","","","","1995.00","0.00","No","20","","","","","","","No","https://images.squarespace-cdn.com/content/v1/5fe1a66187b1197541ed9f92/1715815340292-VELZOI3DON8JJ0JPQL0F/Nikanti+8.jpg https://images.squarespace-cdn.com/content/v1/5fe1a66187b1197541ed9f92/1715815293909-Q0YGM68X8R0ZXGTKJR1X/Ballyshear+1.jpg https://images.squarespace-cdn.com/content/v1/5fe1a66187b1197541ed9f92/1720573639587-QHJD3Z15ZEJ6ZBDVUPZG/Siam+BKK+Clubhouse.JPG https://images.squarespace-cdn.com/content/v1/5fe1a66187b1197541ed9f92/1720573654667-CLZQFQ0GLZ19O68P9KYD/Siam+BKK+3.JPG https://images.squarespace-cdn.com/content/v1/5fe1a66187b1197541ed9f92/1720573679387-L7KPKNB54Z1229G18CKA/Siam+BKK+2.JPG https://images.squarespace-cdn.com/content/v1/5fe1a66187b1197541ed9f92/1676592541536-6GVTYMSCO866PBPENBC3/BKK+Highlights+Tour.jpg"
"66b9819f0fa3ab1b1dce2bb1","10aebb5c-e3dc-4bc4-83cb-2c6241595259","SERVICE","book","best-of-the-phillipines-sept-2025","Best of The Phillipines, Sept 2025","<p class="""" style=""white-space:pre-wrap;"">Embark on a 8-day golf holiday that captures the essence of the Philippines' premier courses. Your journey begins at Sherwood Hills Golf Club, <em>(said to be Jack Nicklaus’ favourite course design)</em>, followed by Eagle Ridge which is the largest golfing facility in the country. Travel to Clark to experience the sublime redesign at Mimosa Plus, and conclude at the elite Luisita Golf Club giving you the perfect blend of luxury, adventure, and relaxation. <em>*(pricing based on minimum of 8 Golfers with optional extensions available).</em></p><p class="""" style=""white-space:pre-wrap;""><strong>Package Inclusions</strong></p><p class="""" style=""white-space:pre-wrap;"">2 rounds of golf in Clark</p><p class="""" style=""white-space:pre-wrap;"">2 rounds of golf in Manila</p><p class="""" style=""white-space:pre-wrap;"">3 nights 4* accommodation in Clark</p><p class="""" style=""white-space:pre-wrap;"">4 nights 5*accommodation in Manila</p><p class="""" style=""white-space:pre-wrap;"">Daily breakfast</p><p class="""" style=""white-space:pre-wrap;"">One caddie per golfer at each golf course</p><p class="""" style=""white-space:pre-wrap;"">Golf carts, as mentioned in the itinerary</p><p class="""" style=""white-space:pre-wrap;"">All airport, land, and golf course transfers</p><p class="""" style=""white-space:pre-wrap;"">Meet &amp;amp; Greet on arrival</p><p class="""" style=""white-space:pre-wrap;"">All transfers by private VIP high-top touring van or sedan</p><p class="""" style=""white-space:pre-wrap;"">Daily drinking water</p><p class="""" style=""white-space:pre-wrap;"">24/7 golf hotline staffed by knowledgeable service personnel</p><p class="""" style=""white-space:pre-wrap;"">Local knowledge, expertise, suggestions, and support throughout the&nbsp;trip</p><p class="""" style=""white-space:pre-wrap;"">All taxes and compulsory service charges</p><p class="""" style=""white-space:pre-wrap;""><strong>Package Exclusions</strong></p><p class="""" style=""white-space:pre-wrap;"">Airfare, airport taxes, visa fees</p><p class="""" style=""white-space:pre-wrap;"">Personal items, meals (other than those mentioned), gratuities</p><p class="""" style=""white-space:pre-wrap;""><strong>Validity Terms</strong></p><p class="""" style=""white-space:pre-wrap;"">Offer subject to hotel and golf course availability</p><p class="""" style=""white-space:pre-wrap;"">Payment by bank transfer (Credit cards extra 3.5% fees)</p>","SQ3572378","Accommodation","Twin Share","","","","","","","","","","","2295.00","0.00","No","Unlimited","","","","","","","No","https://images.squarespace-cdn.com/content/v1/5fe1a66187b1197541ed9f92/1723434527095-RFARUEXJT4PJZLPW4172/Eagle-Ridge-Golf-and-Country-Club+1.jpeg https://images.squarespace-cdn.com/content/v1/5fe1a66187b1197541ed9f92/1723434527804-RQLNEO9RFTQU4JITXEL7/Eagle-Ridge-Golf-and-Country-Club+2.jpeg https://images.squarespace-cdn.com/content/v1/5fe1a66187b1197541ed9f92/1723434544692-EX98TFOMPRGBH4LS4T56/Sherwood+Hills+Golf+Club+Clubhouse.jpg https://images.squarespace-cdn.com/content/v1/5fe1a66187b1197541ed9f92/1723434545133-D42UJRJEDCQDCP6VTCW3/Sherwood+Hills+Golf+Club+Fairway.jpg https://images.squarespace-cdn.com/content/v1/5fe1a66187b1197541ed9f92/1723434564520-A2GR4WCKGN8N7UWRHHUG/Luisita+Golf+Club+Bunker.jpg https://images.squarespace-cdn.com/content/v1/5fe1a66187b1197541ed9f92/1723434566111-963P7JPF34Q5BD9ZNA8P/Luisita+Golf+Club+Green.jpg https://images.squarespace-cdn.com/content/v1/5fe1a66187b1197541ed9f92/1723434578059-NQ60R8LLHFIJI2TVUADS/Mimosa-Top-View.jpg https://images.squarespace-cdn.com/content/v1/5fe1a66187b1197541ed9f92/1723434578914-4VLH5SUZS6YUMWBR5396/Mimosa-Golf-Cart.jpg"
"","8f46a2e3-53b8-4064-a6df-1402bac2e0d9","","","","","","SQ6708648","Accommodation","Single","","","","","","","","","","","3045.00","0.00","No","Unlimited","","","","","","","",""
